
	Naked Eye Galaxies
Galaxy,ApparentMagnitude,Distance,Constellation,Notes
Milky Way,−6.5[a],0,Sagittarius (centre),"This is the galaxy containing the Sun and its Solar System, and therefore Earth. Most things visible to the naked eye in the sky are part of it, including the Milky Way composing the Zone of Avoidance.[12]"
Large Magellanic Cloud,0.9,160 kly (49 kpc),Dorado/Mensa,Visible only from the southern hemisphere. It is also the brightest patch of nebulosity in the sky.[12][13][14]
Small Magellanic Cloud (NGC 292),2.7,200 kly (61 kpc),Tucana,Visible only from the southern hemisphere.[12][15]
"Andromeda Galaxy (M31, NGC 224)",3.4,2.5 Mly (770 kpc),Andromeda,"Once called the Great Andromeda Nebula, it is situated in the Andromeda constellation.[12][16]"
"Triangulum Galaxy (M33, NGC 598)",5.7,2.9 Mly (890 kpc),Triangulum,"Being a diffuse object, its visibility is strongly affected by even small amounts of light pollution, ranging from easily visible in direct vision in truly dark skies to a difficult averted vision object in rural/suburban skies.[17]"
Centaurus A (NGC 5128),6.84,13.7 Mly (4.2 Mpc),Centaurus,Centaurus A has been spotted with the naked eye by Stephen James O'Meara.[18]
"Bode's Galaxy (M81, NGC 3031)",6.94,12 Mly (3.7 Mpc),Ursa Major,Highly experienced amateur astronomers may be able to see Messier 81 under exceptional observing conditions.[19][20][21]
Sculptor Galaxy (NGC 253),8.0,12 Mly (3.7 Mpc),Sculptor,NGC 253 has been observed with the naked eye by Timo Karhula.[22]


	Galaxies by Brightness and Power
Title,Galaxy,Data,Notes
Intrinsically brightest galaxy,Baby Boom Galaxy,,Starburst galaxy located 12 billion light-years away
Brightest galaxy to the naked eye,Large Magellanic Cloud,Apparent magnitude 0.6,This galaxy has high surface brightness combined with high apparent brightness.
Intrinsically faintest galaxy,Ursa Major III,Absolute magnitude +2.2,This does not include dark galaxies.
Lowest surface brightness galaxy,Andromeda IX,,
Most luminous galaxy,WISE J224607.57-052635.0,,"As of 21 May 2015, WISE-J224607.57-052635.0-20150521 is the most luminous galaxy discovered and releases 10,000 times more energy than the Milky Way galaxy, although smaller. Nearly 100 percent of the light escaping from this dusty galaxy is Infrared radiation.[134][135] (Image)"
Brightest distant galaxy (z > 6),Cosmos Redshift 7,,Galaxy Cosmos Redshift 7 is reported to be the brightest of distant galaxies (z > 6) and to contain some of the earliest first stars (first generation; Population III) that produced the chemical elements needed for the later formation of planets and life as we know it.[5][136]


	Most Remote Galaxy Record-holders
Galaxy,Date,Distance(z=Redshift)[b],Notes
GN-z11,2016–,z=11.09,Announced March 2016.[51]
EGSY8p7(EGSY-2008532660),2015–2016,z=8.68,"This galaxy's redshift was determined by examining its Lyman-alpha emissions, which were released in August 2015.[52][53]"
EGS-zs8-1,2015–2015,z=7.730,This was the most distant galaxy as of May 2015.[54][55]
Z8 GND 5296,2013–2015,z=7.51,[56]
SXDF-NB1006-2,2012–2013,z=7.215,[57]
GN-108036,2012–2012,z=7.213,[58]
BDF-3299,2012–2013,z=7.109,[59]
